,제목,회사명,refine_기술스택,스크랩수,조회수,최소경력,최대경력,주소(시도),주소(시군구),취업축하금,데이터수집일,URL,카테고리,기술스택
310,"백엔드 개발자 Backend Developer (API 개발, 3년이상)",스윗코리아,"['mysql', 'rest api', 'python', 'fastapi']",34,757,3,15,서울,강남구,70,2024-03-03 12:44:21.319201,https://www.jumpit.co.kr/position/15116,서버/백엔드 개발자,python
819,[병역특례] 풀스택개발 산업기능요원 모집,넛지헬스케어,"['Node.js', 'REST API', 'AWS', 'Git', 'aws', 'rest api', 'python', 'javascript', 'React', 'Redux']",59,2139,0,2,서울,강남구,70,2024-03-03 12:43:31.518904,https://www.jumpit.co.kr/position/12720,웹 풀스택 개발자,python
960,웹 개발자 경력 채용,쿤텍,"['javascript', 'python', 'java', 'db']",6,398,4,10,경기,성남시,70,2024-03-03 12:45:15.517428,https://www.jumpit.co.kr/position/15625,웹 풀스택 개발자,python
1317,[병역특례 전문연구요원] AI 엔지니어,테스트웍스,"['ai/인공지능', 'python', 'tensorflow', 'keras', 'pytorch', 'machinelearning', 'opencv']",15,1034,0,10,서울,송파구,70,2024-03-03 12:43:39.622083,https://www.jumpit.co.kr/position/15076,인공지능/머신러닝,python
1338,양자컴퓨팅 연구원(신입 및 경력),노르마,"['machinelearning', 'ai/인공지능', 'linux', 'python', 'pytorch', 'C', 'C++']",17,707,0,10,서울,성동구,70,2024-03-03 12:43:58.049512,https://www.jumpit.co.kr/position/18164,인공지능/머신러닝,python
1353,[에너지IT기업 해줌] 데이터사이언티스트,해줌,"['python', 'pytorch', 'r', 'tableau', 'ai/인공지능', 'machinelearning']",26,1033,3,20,서울,송파구,70,2024-03-03 12:44:14.333714,https://www.jumpit.co.kr/position/15108,인공지능/머신러닝,python
1381,[경력] 코덱SW엔지니어(알고리즘 개발),블루닷,"['python', 'spring framework', 'aws', 'c', 'c++', 'git', 'gitlab', 'AI/인공지능']",0,117,4,12,서울,강남구,70,2024-03-03 12:44:37.518736,https://www.jumpit.co.kr/position/18096,인공지능/머신러닝,python
1389,Phyton 및 인공지능(AI) 개발자 모집,티오이십일콤즈,"['ai/인공지능', 'rest api', 'python', 'pandas', 'numpy', 'tensorflow', 'pytorch', 'machinelearning']",9,457,5,10,서울,구로구,70,2024-03-03 12:44:50.206805,https://www.jumpit.co.kr/position/15031,인공지능/머신러닝,python
1398,[경력] 코덱엔지니어(화질분석),블루닷,"['python', 'c', 'git', 'Linux']",5,120,4,12,서울,강남구,70,2024-03-03 12:44:54.758039,https://www.jumpit.co.kr/position/18095,인공지능/머신러닝,python
1678,클라우드 인프라보안 담당,스윗코리아,"['amazon eks', 'ips', 'vpn', 'python', 'shell', 'network', 'db', 'kubernetes']",2,306,5,15,서울,강남구,70,2024-03-03 12:45:13.212775,https://www.jumpit.co.kr/position/15113,정보보안 담당자,python
1849,[신입] 반도체 회로 설계 개발자 채용,블루닷,"['c', 'c++', 'verilog', 'shell', 'python']",14,839,0,1,서울,강남구,70,2024-03-03 12:43:45.411680,https://www.jumpit.co.kr/position/15154,HW/임베디드,python
1965,[경력] 반도체 회로설계 개발자,블루닷,"['c', 'c++', 'verilog', 'shell', 'python']",2,283,3,12,서울,강남구,70,2024-03-03 12:45:35.302040,https://www.jumpit.co.kr/position/15156,HW/임베디드,python
